time,theta0,theta1,dtheta0,dtheta1,M00,M01,M10,M11,Cv0,Cv1,taug0,taug1,hplus0,hplus1,hminus0,hminus1,vdot_plus0,vdot_plus1,vdot_minus0,vdot_minus1
3.066000000,1.145859006,0.588039709,1.114981076,-2.334001832,4.327059422,2.162029711,2.162029711,1.330000000,-0.134704682,0.689632125,-23.086119514,-9.679804292,-23.220824196,-8.990172167,22.951414832,10.369436417,10.592727590,-10.459864364,-7.501599002,4.397927449
3.067000000,1.146966485,0.585710106,1.107479477,-2.329603905,4.329639512,2.163319756,2.163319756,1.330000000,-0.147638012,0.678004454,-23.094769325,-9.681743845,-23.242407337,-9.003739391,22.947131313,10.359748300,10.602477312,-10.475796420,-7.518289923,4.439636707
3.068000000,1.148066447,0.583384941,1.099961187,-2.325164268,4.332205665,2.164602833,2.164602833,1.330000000,-0.160412545,0.666484089,-23.103347669,-9.683673769,-23.263760213,-9.017189681,22.942935124,10.350157858,10.612160580,-10.491671556,-7.534991057,4.481282050
3.069000000,1.149158873,0.581064258,1.092426196,-2.320682986,4.334757875,2.165878937,2.165878937,1.330000000,-0.173028482,0.655071027,-23.111854618,-9.685593913,-23.284883100,-9.030522886,22.938826137,10.340664940,10.621777533,-10.507489737,-7.551701303,4.522861544
3.070000000,1.150243747,0.578748098,1.084874495,-2.316160124,4.337296133,2.167148066,2.167148066,1.330000000,-0.185486039,0.643765262,-23.120290247,-9.687504126,-23.305776285,-9.043738864,22.934804208,10.331269388,10.631328320,-10.523250939,-7.568419548,4.564373235
3.071000000,1.151321053,0.576436502,1.077306075,-2.311595751,4.339820434,2.168410217,2.168410217,1.330000000,-0.197785448,0.632566778,-23.128654627,-9.689404258,-23.326440075,-9.056837480,22.930869179,10.321971036,10.640813093,-10.538955147,-7.585144666,4.605815153
3.072000000,1.152390774,0.574129512,1.069720931,-2.306989936,4.342330772,2.169665386,2.169665386,1.330000000,-0.209926955,0.621475555,-23.136947832,-9.691294162,-23.346874787,-9.069818607,22.927020877,10.312769717,10.650232012,-10.554602361,-7.601875519,4.647185310
3.073000000,1.153452893,0.571827170,1.062119055,-2.302342751,4.344827142,2.170913571,2.170913571,1.330000000,-0.221910820,0.610491564,-23.145169935,-9.693173690,-23.367080755,-9.082682126,22.923259114,10.303665255,10.659585244,-10.570192588,-7.618610956,4.688481700
3.074000000,1.154507394,0.569529515,1.054500444,-2.297654269,4.347309541,2.172154771,2.172154771,1.330000000,-0.233737320,0.599614770,-23.153321007,-9.695042697,-23.387058328,-9.095427927,22.919583687,10.294657467,10.668872963,-10.585725847,-7.635349816,4.729702301
3.075000000,1.155554259,0.567236591,1.046865094,-2.292924567,4.349777966,2.173388983,2.173388983,1.330000000,-0.245406744,0.588845130,-23.161401123,-9.696901036,-23.406807867,-9.108055906,22.915994380,10.285746166,10.678095348,-10.601202166,-7.652090927,4.770845075
3.076000000,1.156593472,0.564948437,1.039213003,-2.288153722,4.352232414,2.174616207,2.174616207,1.330000000,-0.256919396,0.578182595,-23.169410355,-9.698748564,-23.426329751,-9.120565969,22.912490959,10.276931159,10.687252585,-10.616621586,-7.668833105,4.811907968
3.077000000,1.157625016,0.562665095,1.031544170,-2.283341814,4.354672884,2.175836442,2.175836442,1.330000000,-0.268275594,0.567627109,-23.177348775,-9.700585137,-23.445624369,-9.132958028,22.909073181,10.268212247,10.696344866,-10.631984156,-7.685575155,4.852888912
3.078000000,1.158648875,0.560386606,1.023858595,-2.278488925,4.357099375,2.177049688,2.177049688,1.330000000,-0.279475672,0.557178608,-23.185216456,-9.702410614,-23.464692128,-9.145232006,22.905740784,10.259589223,10.705372390,-10.647289935,-7.702315873,4.893785822
3.079000000,1.159665031,0.558113011,1.016156279,-2.273595139,4.359511889,2.178255944,2.178255944,1.330000000,-0.290519976,0.546837022,-23.193013471,-9.704224854,-23.483533447,-9.157387832,22.902493494,10.251061876,10.714335362,-10.662538992,-7.719054044,4.934596601
3.080000000,1.160673468,0.555844351,1.008437225,-2.268660542,4.361910425,2.179455212,2.179455212,1.330000000,-0.301408868,0.536602274,-23.200739891,-9.706027716,-23.502148758,-9.169425443,22.899331023,10.242629990,10.723233990,-10.677731407,-7.735788442,4.975319137
3.081000000,1.161674170,0.553580666,1.000701437,-2.263685223,4.364294985,2.180647493,2.180647493,1.330000000,-0.312142721,0.526474277,-23.208395788,-9.707819062,-23.520538509,-9.181344785,22.896253067,10.234293339,10.732068493,-10.692867267,-7.752517834,5.015951307
3.082000000,1.162667119,0.551321996,0.992948919,-2.258669272,4.366665573,2.181832787,2.181832787,1.330000000,-0.322721925,0.516452942,-23.215981236,-9.709598754,-23.538703161,-9.193145812,22.893259311,10.226051695,10.740839090,-10.707946671,-7.769240976,5.056490973
3.083000000,1.163652298,0.549068383,0.985179678,-2.253612781,4.369022192,2.183011096,2.183011096,1.330000000,-0.333146882,0.506538168,-23.223496305,-9.711366654,-23.556643187,-9.204828486,22.890349424,10.217904822,10.749546011,-10.722969725,-7.785956615,5.096935986
3.084000000,1.164629692,0.546819868,0.977393721,-2.248515845,4.371364846,2.184182423,2.184182423,1.330000000,-0.343418007,0.496729850,-23.230941068,-9.713122628,-23.574359075,-9.216392779,22.887523061,10.209852478,10.758189488,-10.737936544,-7.802663490,5.137284187
3.085000000,1.165599283,0.544576489,0.969591058,-2.243378561,4.373693540,2.185346770,2.185346770,1.330000000,-0.353535731,0.487027873,-23.238315596,-9.714866541,-23.591851327,-9.227838667,22.884779864,10.201894414,10.766769759,-10.752847253,-7.819360331,5.177533404
3.086000000,1.166561055,0.542338288,0.961771698,-2.238201027,4.376008279,2.186504140,2.186504140,1.330000000,-0.363500496,0.477432119,-23.245619960,-9.716598259,-23.609120456,-9.239166139,22.882119463,10.194030378,10.775287068,-10.767701986,-7.836045861,5.217681456
3.087000000,1.167514990,0.540105305,0.953935652,-2.232983346,4.378309071,2.187654536,2.187654536,1.330000000,-0.373312759,0.467942459,-23.252854231,-9.718317649,-23.626166990,-9.250375190,22.879541472,10.186260108,10.783741664,-10.782500882,-7.852718795,5.257726150
3.088000000,1.168461073,0.537877579,0.946082933,-2.227725620,4.380595923,2.188797962,2.188797962,1.330000000,-0.382972988,0.458558758,-23.260018481,-9.720024580,-23.642991469,-9.261465822,22.877045493,10.178583339,10.792133800,-10.797244091,-7.869377838,5.297665288
3.089000000,1.169399287,0.535655151,0.938213555,-2.222427954,4.382868843,2.189934422,2.189934422,1.330000000,-0.392481666,0.449280875,-23.267112780,-9.721718923,-23.659594447,-9.272438048,22.874631114,10.170999797,10.800463735,-10.811931771,-7.886021693,5.337496660
